date,mean_comments_24h,var_comments_24h,std_comments_24h,upper_std,lower_std,comm_score_mean,num_comm,score_mean,num_comments_mean,num_post,negative,neutral,positive,FTX,price_ftx
2022-11-01,0.0341442594963721,0.0001413074581261,0.0118872813597607,0.0182691822902968,0.0029550913919301,0.2214269164275402,0.0053310886644219,0.466397487662629,1.0,0.0065934065934065,0.3787439613526569,0.5579710144927538,0.6376811594202898,0.02,26.1010744
2022-11-02,0.135025026190199,0.0029905796592508,0.0546861925832371,0.0777223151784723,0.0006509864986582,0.3050299655848604,0.0120650953984287,0.0338737305762877,0.1414560543191248,0.0241758241758241,0.6163522012578616,0.4496855345911949,0.5765199161425576,0.02,25.85684944
2022-11-03,0.1755990488384854,0.0067625712103212,0.0822348539873531,0.109005830637551,0.0187090026337467,0.251818846133281,0.0159932659932659,0.0434531820803691,0.2169531713100178,0.0153846153846153,0.7985185185185182,0.3055555555555555,0.5703703703703702,0.02,25.02184163
2022-11-04,0.115236875800256,0.002271012719884,0.0476551436875812,0.0670333322453376,0.0021356871955191,0.1924822214696918,0.0101010101010101,0.0332688425302826,0.3189834024896266,0.0175824175824175,0.5777777777777777,0.598639455782313,0.4988662131519273,0.02,24.35750316
2022-11-05,0.0146332540698737,0.0001009338986615,0.0100465864183568,0.0113617541097482,0.0066911020047016,0.2099806052396638,0.0092592592592592,0.0065179773120553,0.1493775933609958,0.0153846153846153,0.5444444444444444,0.6875000000000001,0.4583333333333332,0.01,25.45838532
2022-11-06,1.0,1.0,1.0,1.0,0.9609310986551188,0.9634865894074108,0.132716049382716,0.6925622476446838,0.9709543568464732,0.0879120879120879,0.8055436081242531,0.492831541218638,0.4415770609318995,0.04,24.08401943
2022-11-07,0.3893278369403412,0.1500319647820717,0.3873395987787354,0.3879097003844339,0.370922269549039,0.5912743194859534,0.4887766554433221,0.1786702994889975,0.4278919137739095,0.2703296703296703,0.7695906432748537,0.464733261725743,0.4804869316147511,0.08,22.2641956
2022-11-08,0.3522224254618621,0.5835452028950713,0.7639013044203232,0.64585770458476,1.0,0.7378485156338186,1.0,0.2809682753316669,0.518375815056313,0.7692307692307693,0.7845445862637839,0.5248328557784145,0.4320280165552371,0.35,22.09229223
2022-11-09,0.2424322953156331,0.0963244681379335,0.310361834216022,0.2908839165553956,0.3421186429947795,0.7703161740507385,0.8765432098765432,0.3816501180832423,0.4567936271823378,0.931868131868132,0.8216247470367157,0.4637660210079984,0.4519289454241751,0.63,5.49049023
2022-11-10,0.1740870617790092,0.0425849804271221,0.2063612861636653,0.1971070692898141,0.2191480420678944,0.5937743280538422,0.6910774410774411,0.2239567715143396,0.3071229339352066,0.9252747252747252,0.8673337780742717,0.4341783411162999,0.4460010377288563,0.69,2.27946843
2022-11-11,0.1633927734923956,0.0454427797091262,0.2131731214509143,0.1988992498134932,0.2370026565275814,0.737725129594415,0.6565656565656566,0.3178043856481633,0.3433559356340451,0.9010989010989012,0.7924169859514686,0.4530651340996169,0.4754549808429119,0.74,3.50252375
2022-11-12,0.2323310492324577,0.1421626032243579,0.377044563976671,0.3355498332572273,0.4557983995588436,0.956827600151148,0.8815937149270483,0.4850043630662742,0.4150563129816242,1.0,0.8266866473104179,0.4558864849676876,0.4543411070525427,1.0,2.60672593
2022-11-13,0.1975270892655799,0.0435816600361264,0.2087622093103214,0.2055406837901847,0.2078639573469306,0.5779975317254685,0.6722783389450057,0.55965428577168,0.4286988295039326,0.7362637362637363,0.8463325534622174,0.4253170791774412,0.463694947256085,0.76,2.10334528
2022-11-14,0.1721181080976215,0.0353390039315653,0.1879867121143549,0.1834365949277764,0.190893354542045,0.6353522915926755,0.5751964085297419,0.4577792732166891,0.4444360618634478,0.7252747252747253,0.8749032614704255,0.4195688225538972,0.4514925373134327,0.64,1.49853532
2022-11-15,0.2021699575443089,0.0645260762198695,0.2540198343040746,0.2391525520202763,0.277590443384896,0.7088878371596783,0.4657687991021324,0.4675714859153266,0.4025769818737716,0.6263736263736264,0.8444669138299067,0.4170879676440849,0.4702280642624424,0.5,1.49128862
2022-11-16,0.1936134714623831,0.0295637622076046,0.1719411591434834,0.1781554147044097,0.1512233498215729,0.5325657523422507,0.4393939393939394,0.4003206696847343,0.3834873632591475,0.5802197802197803,0.8987269805957236,0.3711531331108639,0.4703992089976516,0.42,1.823372
2022-11-17,0.277531545137179,0.2789899686403845,0.5281950100487363,0.4563204999444634,0.669486954774622,1.0,0.5126262626262627,0.6917319483268339,0.5008511543781253,0.5142857142857142,0.9010042425218838,0.3969711615917513,0.4519091348477524,0.49,1.63201783
2022-11-18,0.2132616863625868,0.0636840460748024,0.2523569814267131,0.2411469106606861,0.2677531298890332,0.90521050830208,0.3672839506172839,0.6453272437099633,0.5001700564587443,0.4021978021978022,0.8805610344071881,0.3917378917378918,0.4668712104609541,0.42,1.57268982
2022-11-19,0.227798268580274,0.0257066984523153,0.1603330859564405,0.1796778554540385,0.1104867167194334,0.669296389707406,0.281986531986532,0.4776526184688938,0.4536136743667554,0.2945054945054945,0.872261345852895,0.4147593896713615,0.4561815336463223,0.28,1.45761641
2022-11-20,0.3372123327252331,0.2497336220259497,0.4997335510308966,0.4531326913827199,0.5851977926590892,0.8966404831922538,0.3179012345679012,1.0,0.6496162743730034,0.2483516483516483,0.933333333333333,0.3722578919208132,0.4502407704654895,0.2,1.4051965
