date,price_luna
2022-03-01,91.32165992
2022-03-02,89.67881356
2022-03-03,92.30028255
2022-03-04,90.51508659
2022-03-05,83.44571225
2022-03-06,87.55230472
2022-03-07,79.21714485
2022-03-08,77.82172101
2022-03-09,85.32036465
2022-03-10,99.20786271
2022-03-11,101.16662105
2022-03-12,88.39412089
2022-03-13,86.0597797
2022-03-14,87.41254507
2022-03-15,94.85757242
2022-03-16,88.48187108
2022-03-17,89.17182055
2022-03-18,86.82497651
2022-03-19,88.5338651
2022-03-20,92.12272971
2022-03-21,90.6049618
2022-03-22,95.78374119
2022-03-23,93.05102775
2022-03-24,94.84941471
2022-03-25,93.63512877
2022-03-26,90.39801777
2022-03-27,91.36948984
2022-03-28,94.11947262
2022-03-29,97.20407293
2022-03-30,109.02242529
2022-03-31,105.99867525
2022-04-01,103.0043686
2022-04-02,105.87786293
2022-04-03,115.17942093
2022-04-04,112.88947256
2022-04-05,116.40347464
2022-04-06,116.24874557
2022-04-07,108.04476659
2022-04-08,103.52425537
2022-04-09,94.55789448
2022-04-10,97.42293621
2022-04-11,91.86083808
2022-04-12,82.49235132
2022-04-13,84.56653928
2022-04-14,87.91405389
2022-04-15,81.55973691
2022-04-16,80.34948902
2022-04-17,80.94802061
2022-04-18,77.20529402
2022-04-19,91.07966002
2022-04-20,95.47008023
2022-04-21,94.75925899
2022-04-22,90.80771679
2022-04-23,93.53067074
2022-04-24,89.27176086
2022-04-25,90.51833435
2022-04-26,96.91221343
2022-04-27,88.45318867
2022-04-28,89.04203833
2022-04-29,89.13188822
2022-04-30,85.09255295
2022-05-01,78.10117283
2022-05-02,82.22223078
2022-05-03,84.26026641
2022-05-04,82.49734897
2022-05-05,86.17558082
2022-05-06,82.36346181
2022-05-07,77.31056612
2022-05-08,68.12005363
2022-05-09,64.25606916
2022-05-10,30.39827733
2022-05-11,17.40672652
2022-05-12,1.08747405
2022-05-13,0.00031
2022-05-14,5e-05
2022-05-15,5e-05
2022-05-16,5e-05
2022-05-17,5e-05
2022-05-18,5e-05
2022-05-19,5e-05
2022-05-20,5e-05
2022-05-21,5e-05
2022-05-22,5e-05
2022-05-23,5e-05
2022-05-24,5e-05
2022-05-25,5e-05
2022-05-26,5e-05
2022-05-27,5e-05
2022-05-28,5e-05
2022-05-29,5e-05
2022-05-30,5e-05
2022-05-31,5e-05
