date,TerraLUNA
2022-03-01,0.08181818181818182
2022-03-02,0.05454545454545454
2022-03-03,0.05454545454545454
2022-03-04,0.05454545454545454
2022-03-05,0.06363636363636363
2022-03-06,0.1
2022-03-07,0.06363636363636363
2022-03-08,0.06363636363636363
2022-03-09,0.06363636363636363
2022-03-10,0.05454545454545454
2022-03-11,0.05454545454545454
2022-03-12,0.03636363636363636
2022-03-13,0.045454545454545456
2022-03-14,0.045454545454545456
2022-03-15,0.03636363636363636
2022-03-16,0.045454545454545456
2022-03-17,0.045454545454545456
2022-03-18,0.045454545454545456
2022-03-19,0.045454545454545456
2022-03-20,0.03636363636363636
2022-03-21,0.05454545454545454
2022-03-22,0.03636363636363636
2022-03-23,0.03636363636363636
2022-03-24,0.03636363636363636
2022-03-25,0.05454545454545454
2022-03-26,0.03636363636363636
2022-03-27,0.05454545454545454
2022-03-28,0.02727272727272727
2022-03-29,0.045454545454545456
2022-03-30,0.08181818181818182
2022-03-31,0.05454545454545454
2022-04-01,0.05454545454545454
2022-04-02,0.045454545454545456
2022-04-03,0.05454545454545454
2022-04-04,0.045454545454545456
2022-04-05,0.05454545454545454
2022-04-06,0.09090909090909091
2022-04-07,0.045454545454545456
2022-04-08,0.05454545454545454
2022-04-09,0.045454545454545456
2022-04-10,0.03636363636363636
2022-04-11,0.03636363636363636
2022-04-12,0.03636363636363636
2022-04-13,0.05454545454545454
2022-04-14,0.05454545454545454
2022-04-15,0.05454545454545454
2022-04-16,0.05454545454545454
2022-04-17,0.06363636363636363
2022-04-18,0.05454545454545454
2022-04-19,0.045454545454545456
2022-04-20,0.03636363636363636
2022-04-21,0.03636363636363636
2022-04-22,0.03636363636363636
2022-04-23,0.045454545454545456
2022-04-24,0.02727272727272727
2022-04-25,0.03636363636363636
2022-04-26,0.045454545454545456
2022-04-27,0.03636363636363636
2022-04-28,0.02727272727272727
2022-04-29,0.02727272727272727
2022-04-30,0.03636363636363636
2022-05-01,0.0
2022-05-02,0.03636363636363636
2022-05-03,0.01818181818181818
2022-05-04,0.02727272727272727
2022-05-05,0.01818181818181818
2022-05-06,0.02727272727272727
2022-05-07,0.0
2022-05-08,0.03636363636363636
2022-05-09,0.09090909090909091
2022-05-10,0.15454545454545454
2022-05-11,0.4909090909090909
2022-05-12,0.7454545454545455
2022-05-13,0.7909090909090909
2022-05-14,0.4818181818181818
2022-05-15,0.36363636363636365
2022-05-16,0.2727272727272727
2022-05-17,0.2
2022-05-18,0.2636363636363636
2022-05-19,0.22727272727272727
2022-05-20,0.19090909090909092
2022-05-21,0.16363636363636364
2022-05-22,0.16363636363636364
2022-05-23,0.17272727272727273
2022-05-24,0.19090909090909092
2022-05-25,0.35454545454545455
2022-05-26,0.5363636363636364
2022-05-27,0.2909090909090909
2022-05-28,1.0
2022-05-29,0.36363636363636365
2022-05-30,0.3
2022-05-31,0.23636363636363636
